Student_ID,Age,Gender,Academic_Level,Country,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Relationship_Status,Conflicts_Over_Social_Media,Addicted_Score,Country_Grouped,Academic_Harm_Binary,Mental_Health_Harm_Component,Sleep_Harm_Component,Conflict_Harm_Component,Addiction_Harm_Component,Harm_Index,Harm_Index_100,Cluster_ID,Persona
1,19,Female,Undergraduate,Bangladesh,5.2,Instagram,Yes,6.5,6,In Relationship,3,8,Bangladesh,1,4,1.5,3,8,0.42647777277588145,64.12474099034564,2,The Social Warrior
2,22,Male,Graduate,India,2.1,Twitter,No,7.5,8,Single,0,3,India,0,2,0.5,0,3,-1.8672505424569592,11.458248589932369,3,The Balanced User
3,20,Female,Undergraduate,USA,6.0,TikTok,Yes,5.0,5,Complicated,4,9,USA,1,5,3.0,4,9,1.3907199154646166,86.26478745653726,0,The Doomscroller
4,18,Male,High School,UK,3.0,YouTube,No,7.0,7,Single,1,4,UK,0,3,1.0,1,4,-1.1026933547491338,29.013311693388022,3,The Balanced User
5,21,Male,Graduate,Canada,4.5,Facebook,Yes,6.0,6,In Relationship,2,7,Canada,1,4,2.0,2,7,0.09443017300677466,56.50056759819745,2,The Social Warrior
6,19,Female,Undergraduate,Australia,7.2,Instagram,Yes,4.5,4,Complicated,5,9,Other,1,6,3.5,5,9,1.9889151718936278,100.0,0,The Doomscroller
7,23,Male,Graduate,Germany,1.5,LinkedIn,No,8.0,9,Single,0,2,Other,0,1,0.0,0,2,-2.3662795841840367,0.0,3,The Balanced User
8,20,Female,Undergraduate,Brazil,5.8,Snapchat,Yes,6.0,6,In Relationship,2,8,Other,1,4,2.0,2,8,0.2607921042855888,60.32041815819036,2,The Social Warrior
9,18,Male,High School,Japan,4.0,TikTok,No,6.5,7,Single,1,5,Japan,0,3,1.5,1,5,-0.8364889459798647,35.125653934748904,1,The Quiet Addict
10,21,Female,Graduate,South Korea,3.3,Instagram,No,7.0,7,In Relationship,1,4,Other,0,3,1.0,1,4,-1.1026933547491338,29.013311693388022,3,The Balanced User
11,19,Male,Undergraduate,France,4.8,Snapchat,Yes,6.2,5,Complicated,3,7,France,1,5,1.7999999999999998,3,7,0.5528459609491488,67.02629178774502,2,The Social Warrior
12,20,Female,Undergraduate,Spain,5.5,TikTok,Yes,5.8,6,In Relationship,2,8,Spain,1,4,2.2,2,8,0.30072909528177083,61.23741483073755,2,The Social Warrior
13,22,Male,Graduate,Italy,2.8,LinkedIn,No,7.2,8,Single,1,4,Italy,0,2,0.7999999999999998,1,4,-1.3754549787031245,22.750408672269334,3,The Balanced User
14,18,Female,High School,Mexico,6.5,Instagram,Yes,5.5,5,Single,4,9,Mexico,1,5,2.5,4,9,1.2908774379741617,83.97229577516929,0,The Doomscroller
15,21,Male,Undergraduate,Russia,3.7,YouTube,No,6.8,7,In Relationship,2,5,Russia,0,3,1.2000000000000002,2,5,-0.63086628649339,39.84697343945139,1,The Quiet Addict
16,20,Female,Undergraduate,China,4.2,TikTok,Yes,6.0,6,Complicated,3,7,China,1,4,2.0,3,7,0.35995831898752223,62.59738211172072,2,The Social Warrior
17,24,Male,Graduate,Sweden,2.0,LinkedIn,No,7.8,8,Single,0,3,Other,0,2,0.20000000000000018,0,3,-1.927156028951232,10.082753581111588,3,The Balanced User
18,19,Female,High School,Norway,5.0,Instagram,Yes,5.7,5,In Relationship,3,8,Other,1,5,2.3,3,8,0.8190503697184178,73.13863402910592,2,The Social Warrior
19,21,Male,Undergraduate,Denmark,3.5,Facebook,No,6.7,7,Single,1,5,Denmark,0,3,1.2999999999999998,1,5,-0.8764259369760468,34.20865726220171,1,The Quiet Addict
20,20,Female,Undergraduate,Netherlands,4.7,Snapchat,Yes,5.9,6,Complicated,3,7,Other,1,4,2.0999999999999996,3,7,0.37992681448561316,63.055880447994326,2,The Social Warrior
21,18,Male,High School,Belgium,5.3,TikTok,Yes,5.5,5,Single,4,8,Other,1,5,2.5,4,8,1.1245155066953476,80.15244521517637,0,The Doomscroller
22,23,Female,Graduate,Switzerland,2.5,LinkedIn,No,7.3,8,In Relationship,1,4,Switzerland,0,2,0.7000000000000002,1,4,-1.3954234742012153,22.291910335995745,3,The Balanced User
23,19,Male,Undergraduate,Austria,4.9,Instagram,Yes,5.8,6,Complicated,3,7,Other,1,4,2.2,3,7,0.39989530998370426,63.51437878426792,2,The Social Warrior
24,20,Female,Undergraduate,Portugal,5.7,TikTok,Yes,5.4,5,Single,4,8,Other,1,5,2.5999999999999996,4,8,1.1444840021934384,80.61094355144996,0,The Doomscroller
25,22,Male,Graduate,Greece,3.2,Facebook,No,6.9,7,In Relationship,2,5,Other,0,3,1.0999999999999996,2,5,-0.6508347819914811,39.3884751031778,1,The Quiet Addict
26,19,Female,High School,Ireland,6.1,Instagram,Yes,5.2,5,Complicated,4,9,Ireland,1,5,2.8,4,9,1.3507829244684346,85.34779078399006,0,The Doomscroller
27,21,Male,Undergraduate,New Zealand,3.8,YouTube,No,6.6,7,Single,1,5,Other,0,3,1.4000000000000004,1,5,-0.8564574414779557,34.667155598475304,1,The Quiet Addict
28,20,Female,Undergraduate,Singapore,4.4,TikTok,Yes,5.9,6,In Relationship,3,7,Other,1,4,2.0999999999999996,3,7,0.37992681448561316,63.055880447994326,2,The Social Warrior
29,24,Male,Graduate,Malaysia,2.2,LinkedIn,No,7.4,8,Single,0,3,Other,0,2,0.5999999999999996,0,3,-1.8472820469588682,11.916746926205967,3,The Balanced User
30,19,Female,High School,Thailand,5.9,Instagram,Yes,5.3,5,Complicated,4,8,Other,1,5,2.7,4,8,1.1644524976915296,81.06944188772357,0,The Doomscroller
31,21,Male,Undergraduate,Vietnam,3.6,Facebook,No,6.7,7,Single,1,5,Other,0,3,1.2999999999999998,1,5,-0.8764259369760468,34.20865726220171,1,The Quiet Addict
32,20,Female,Undergraduate,Philippines,4.8,Snapchat,Yes,5.7,6,In Relationship,3,7,Other,1,4,2.3,3,7,0.4198638054817952,63.97287712054152,2,The Social Warrior
33,18,Male,High School,Indonesia,5.4,TikTok,Yes,5.4,5,Complicated,4,8,Other,1,5,2.5999999999999996,4,8,1.1444840021934384,80.61094355144996,0,The Doomscroller
34,23,Female,Graduate,Taiwan,2.6,LinkedIn,No,7.2,8,Single,1,4,Other,0,2,0.7999999999999998,1,4,-1.3754549787031245,22.750408672269334,3,The Balanced User
35,19,Male,Undergraduate,Hong Kong,4.7,Instagram,Yes,5.8,6,In Relationship,3,7,Other,1,4,2.2,3,7,0.39989530998370426,63.51437878426792,2,The Social Warrior
36,20,Female,Undergraduate,Turkey,5.6,TikTok,Yes,5.5,5,Complicated,4,8,Turkey,1,5,2.5,4,8,1.1245155066953476,80.15244521517637,0,The Doomscroller
37,22,Male,Graduate,Israel,3.1,Facebook,No,6.8,7,Single,1,5,Other,0,3,1.2000000000000002,1,5,-0.8963944324741376,33.75015892592811,1,The Quiet Addict
38,19,Female,High School,UAE,6.2,Instagram,Yes,5.1,5,In Relationship,4,9,Other,1,5,2.9000000000000004,4,9,1.3707514199665256,85.80628912026366,0,The Doomscroller
39,21,Male,Undergraduate,Egypt,3.9,YouTube,No,6.5,7,Complicated,2,6,Other,0,3,1.5,2,6,-0.404598868720303,45.042319008265075,1,The Quiet Addict
40,20,Female,Undergraduate,Morocco,4.5,TikTok,Yes,5.8,6,Single,3,7,Other,1,4,2.2,3,7,0.39989530998370426,63.51437878426792,2,The Social Warrior
41,24,Male,Graduate,South Africa,2.3,LinkedIn,No,7.3,8,In Relationship,1,4,Other,0,2,0.7000000000000002,1,4,-1.3954234742012153,22.291910335995745,3,The Balanced User
42,19,Female,High School,Nigeria,5.8,Instagram,Yes,5.4,5,Complicated,4,8,Other,1,5,2.5999999999999996,4,8,1.1444840021934384,80.61094355144996,0,The Doomscroller
43,21,Male,Undergraduate,Kenya,3.7,Facebook,No,6.6,7,Single,2,5,Other,0,3,1.4000000000000004,2,5,-0.5909292954972081,40.76397011199858,1,The Quiet Addict
44,20,Female,Undergraduate,Ghana,4.6,Snapchat,Yes,5.7,6,In Relationship,3,7,Other,1,4,2.3,3,7,0.4198638054817952,63.97287712054152,2,The Social Warrior
45,18,Male,High School,Argentina,5.5,TikTok,Yes,5.3,5,Single,4,8,Other,1,5,2.7,4,8,1.1644524976915296,81.06944188772357,0,The Doomscroller
46,23,Female,Graduate,Chile,2.7,LinkedIn,No,7.1,8,Complicated,1,4,Other,0,2,0.9000000000000004,1,4,-1.3554864832050333,23.208907008542933,3,The Balanced User
47,19,Male,Undergraduate,Colombia,4.8,Instagram,Yes,5.9,6,In Relationship,3,7,Other,1,4,2.0999999999999996,3,7,0.37992681448561316,63.055880447994326,2,The Social Warrior
48,20,Female,Undergraduate,Peru,5.5,TikTok,Yes,5.6,5,Single,4,8,Other,1,5,2.4000000000000004,4,8,1.1045470111972566,79.69394687890278,0,The Doomscroller
49,22,Male,Graduate,Venezuela,3.3,Facebook,No,6.7,7,In Relationship,2,5,Other,0,3,1.2999999999999998,2,5,-0.6108977909952992,40.30547177572498,1,The Quiet Addict
50,19,Female,High School,Ecuador,6.3,Instagram,Yes,5.2,5,Complicated,4,9,Other,1,5,2.8,4,9,1.3507829244684346,85.34779078399006,0,The Doomscroller
51,21,Male,Undergraduate,Uruguay,3.8,YouTube,No,6.4,7,Single,2,6,Other,0,3,1.5999999999999996,2,6,-0.38463037322221205,45.500817344538675,1,The Quiet Addict
52,20,Female,Undergraduate,Paraguay,4.7,TikTok,Yes,5.8,6,In Relationship,3,7,Other,1,4,2.2,3,7,0.39989530998370426,63.51437878426792,2,The Social Warrior
53,24,Male,Graduate,Bolivia,2.4,LinkedIn,No,7.2,8,Complicated,1,4,Other,0,2,0.7999999999999998,1,4,-1.3754549787031245,22.750408672269334,3,The Balanced User
54,19,Female,High School,Costa Rica,5.7,Instagram,Yes,5.5,5,Single,4,8,Other,1,5,2.5,4,8,1.1245155066953476,80.15244521517637,0,The Doomscroller
55,21,Male,Undergraduate,Panama,3.6,Facebook,No,6.5,7,In Relationship,2,5,Other,0,3,1.5,2,5,-0.5709607999991172,41.222468448272174,1,The Quiet Addict
56,20,Female,Undergraduate,Jamaica,4.9,Snapchat,Yes,5.6,6,Complicated,3,7,Other,1,4,2.4000000000000004,3,7,0.4398323009798863,64.4313754568151,2,The Social Warrior
57,18,Male,High School,Trinidad,5.6,TikTok,Yes,5.2,5,Single,4,8,Other,1,5,2.8,4,8,1.1844209931896204,81.52794022399716,0,The Doomscroller
58,23,Female,Graduate,Bahamas,2.8,LinkedIn,No,7.0,8,In Relationship,1,4,Other,0,2,1.0,1,4,-1.3355179877069423,23.66740534481653,3,The Balanced User
59,19,Male,Undergraduate,Iceland,4.6,Instagram,Yes,5.9,6,Complicated,3,7,Other,1,4,2.0999999999999996,3,7,0.37992681448561316,63.055880447994326,2,The Social Warrior
60,20,Female,Undergraduate,Finland,5.4,TikTok,Yes,5.7,5,Single,4,8,Other,1,5,2.3,4,8,1.0845785156991654,79.23544854262919,0,The Doomscroller
61,22,Male,Graduate,Poland,3.1,Facebook,No,7.1,7,Single,1,5,Poland,0,3,0.9000000000000004,1,5,-0.9562999189684105,32.374663917107334,3,The Balanced User
62,19,Female,Undergraduate,Romania,5.6,Instagram,Yes,5.6,5,In Relationship,3,8,Other,1,5,2.4000000000000004,3,8,0.8390188652165089,73.59713236537951,0,The Doomscroller
63,20,Male,Undergraduate,Hungary,4.2,TikTok,Yes,6.0,6,Complicated,3,7,Other,1,4,2.0,3,7,0.35995831898752223,62.59738211172072,2,The Social Warrior
64,18,Female,High School,Czech Republic,6.1,Snapchat,Yes,5.2,4,Single,4,9,Other,1,6,2.8,4,9,1.5836075574262432,90.69369713256155,0,The Doomscroller
65,23,Male,Graduate,Slovakia,2.3,LinkedIn,No,7.4,8,In Relationship,1,3,Other,0,2,0.5999999999999996,1,3,-1.5817539009781205,18.01356143972924,3,The Balanced User
66,21,Female,Undergraduate,Croatia,4.8,Instagram,Yes,5.8,6,Single,3,7,Other,1,4,2.2,3,7,0.39989530998370426,63.51437878426792,2,The Social Warrior
67,20,Male,Undergraduate,Serbia,3.9,YouTube,No,6.5,7,Complicated,2,6,Other,0,3,1.5,2,6,-0.404598868720303,45.042319008265075,1,The Quiet Addict
68,19,Female,High School,Slovenia,5.7,TikTok,Yes,5.4,5,In Relationship,4,8,Other,1,5,2.5999999999999996,4,8,1.1444840021934384,80.61094355144996,0,The Doomscroller
